name,lower_bound,upper_bound
/jointset/joint_segment_19/joint_segment_19_coord_0/value,-10.0,10.0
/forceset/viscoelastic_segment_12/dissipated_energy,0.0,inf
/jointset/joint_segment_9/joint_segment_9_coord_0/speed,-50.0,50.0
/jointset/patellofemoral_r/knee_angle_r_beta/speed,-50.0,50.0
/forceset/viscoelastic_segment_11/dissipated_energy,0.0,inf
/forceset/viscoelastic_segment_10/dissipated_energy,0.0,inf
/jointset/ground_pelvis/pelvis_tilt/speed,-50.0,50.0
/forceset/viscoelastic_segment_9/dissipated_energy,0.0,inf
/forceset/viscoelastic_segment_8/dissipated_energy,0.0,inf
/forceset/viscoelastic_segment_7/dissipated_energy,0.0,inf
/forceset/gaslat_l/normalized_tendon_force,0.0,5.0
/forceset/viscoelastic_segment_6/dissipated_energy,0.0,inf
/forceset/gaslat_l/activation,0.01,1.0
/forceset/piri_l/normalized_tendon_force,0.0,5.0
/forceset/viscoelastic_segment_5/dissipated_energy,0.0,inf
/forceset/viscoelastic_segment_4/dissipated_energy,0.0,inf
/forceset/viscoelastic_segment_3/dissipated_energy,0.0,inf
/forceset/viscoelastic_segment_2/dissipated_energy,0.0,inf
/forceset/viscoelastic_segment_1/dissipated_energy,0.0,inf
/forceset/vasmed_l,0.01,1.0
/forceset/vaslat_l,0.01,1.0
/forceset/tibpost_l,0.01,1.0
/forceset/tfl_l,0.01,1.0
/forceset/semiten_l,0.01,1.0
/forceset/semimem_l,0.01,1.0
/forceset/sart_l,0.01,1.0
/forceset/recfem_l,0.01,1.0
/forceset/perbrev_l,0.01,1.0
/forceset/iliacus_l,0.01,1.0
/forceset/glmin3_l,0.01,1.0
/forceset/glmin2_l,0.01,1.0
/forceset/glmin1_l,0.01,1.0
/forceset/glmed3_l,0.01,1.0
/forceset/glmed2_l,0.01,1.0
/forceset/glmed1_l,0.01,1.0
/forceset/glmax2_l,0.01,1.0
/forceset/glmax1_l,0.01,1.0
/forceset/gaslat_l,0.01,1.0
